שם_ישוב,גיל_0_5,,גיל_6_18,,גיל_19_45,,גיל_46_55,,גיל_56_64,,גיל_65_פלוס,,"סה""כ",,AND,עירוני/ כפרי,מגזר,פריפריה/ מרכז,נפה/ מועצה,נפה,סמל_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,
רמת הכובש,89,0,262,0,305,0,163,0,58,0,239,0,"1,116",0,0,כפרי,יהודי,מרכז,דרום השרון ,פתח תקווה ,184,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
שדי חמד,78,0,221,0,315,0,189,0,86,0,140,0,"1,029",0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,2015,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
גן חיים,49,0,148,0,220,0,106,0,74,0,127,0,724,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,239,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
ניר אליהו,37,0,173,0,176,0,104,0,40,0,137,0,667,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,808,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
אייל,62,0,144,0,211,0,57,0,59,0,92,0,625,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,716,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
"גבעת ח""ן",36,0,90,0,118,0,45,0,36,0,92,0,417,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,207,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
ירקונה,19,0,61,0,122,0,69,0,50,0,59,0,380,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,183,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
"כפר מל""ל",29,0,64,0,98,0,49,0,38,0,82,0,360,0,0,כפרי,יהודי,מרכז,דרום השרון ,פתח תקווה ,98,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
צור נתן,17,0,61,0,94,0,67,0,10,0,69,0,318,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,1148,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
גני עם,16,0,30,0,68,0,32,0,38,0,74,0,258,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,218,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
בית ברל,3,0,7,0,21,0,9,0,5,0,8,0,53,0,0,כפרי,יהודי,מרכז,דרום השרון ,פתח תקווה ,1076,42,פתח תקווה ,47,כפר סבא ,20,דרום השרון ,
נירית,57,0,174,0,364,0,133,0,160,0,212,0,"1,100",0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,1236,42,פתח תקווה ,349,ראש העין ,20,דרום השרון ,
עינת,56,0,288,0,229,0,187,0,76,0,116,0,952,0,0,כפרי,יהודי,מרכז,דרום השרון ,פתח תקווה ,871,42,פתח תקווה ,349,ראש העין ,20,דרום השרון ,
גבעת השלושה,64,0,150,0,234,0,109,0,60,0,134,0,751,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,870,42,פתח תקווה ,349,ראש העין ,20,דרום השרון ,
חורשים,33,0,67,0,122,0,58,0,47,0,88,0,415,0,0,כפרי,#N/A,מרכז,דרום השרון ,פתח תקווה ,355,42,פתח תקווה ,349,ראש העין ,20,דרום השרון ,
ברקת,328,0,555,0,753,0,144,0,143,0,152,0,"2,075",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,2038,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
נחלים,178,0,367,0,454,0,139,0,83,0,229,0,"1,450",0,0,כפרי,יהודי חרדי,מרכז,חבל מודיעין ,פתח תקווה ,449,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
טירת יהודה,101,0,336,0,397,0,180,0,87,0,138,0,"1,239",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,663,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
מזור,60,0,278,0,383,0,180,0,125,0,164,0,"1,190",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,606,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
רינתיה,97,0,269,0,326,0,145,0,69,0,146,0,"1,052",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,616,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
"גבעת כ""ח",100,0,203,0,322,0,106,0,89,0,118,0,938,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,802,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
בני עטרות,76,0,210,0,275,0,136,0,75,0,113,0,885,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,448,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
נופך,77,0,136,0,226,0,66,0,56,0,67,0,628,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,257,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
בארות יצחק,66,0,90,0,192,0,55,0,42,0,130,0,575,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,פתח תקווה ,450,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין ,
לפיד,97,0,433,0,801,0,327,0,414,0,174,0,"2,246",0,0,כפרי,יהודי,מרכז,חבל מודיעין ,רמלה ,1310,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
אחיסמך,143,0,319,0,477,0,144,0,116,0,141,0,"1,340",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,804,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
גמזו,141,0,335,0,363,0,125,0,64,0,126,0,"1,154",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,745,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
בית עריף,103,0,204,0,345,0,136,0,128,0,132,0,"1,048",0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,604,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
חדיד,106,0,232,0,311,0,136,0,69,0,124,0,978,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,618,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
גינתון,90,0,201,0,293,0,147,0,71,0,132,0,934,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,863,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
בן שמן (מושב),74,0,215,0,270,0,148,0,83,0,125,0,915,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,2013,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
בית נחמיה,73,0,187,0,275,0,140,0,114,0,125,0,914,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,784,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
כפר טרומן,83,0,188,0,274,0,113,0,95,0,109,0,862,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,673,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
שילת,76,0,189,0,265,0,109,0,65,0,98,0,802,0,0,כפרי,יהודי חרדי,מרכז,חבל מודיעין ,רמלה ,1165,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
כפר דניאל,19,0,175,0,192,0,139,0,76,0,84,0,685,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,707,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
כפר רות,49,0,61,0,92,0,20,0,13,0,61,0,296,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,1166,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
בן שמן (כפר נוער),28,0,52,0,84,0,21,0,26,0,49,0,260,0,0,כפרי,יהודי,מרכז,חבל מודיעין ,רמלה ,1084,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
מבוא מודיעים,18,0,47,0,95,0,14,0,10,0,49,0,233,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,1141,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
כרם בן שמן,8,0,29,0,20,0,14,0,8,0,24,0,103,0,0,כפרי,#N/A,מרכז,חבל מודיעין ,רמלה ,88,43,רמלה ,43,רמלה ,25,חבל מודיעין ,
עין נקובא,549,0,"1,117",0,"1,677",0,350,0,195,0,134,0,"4,022",0,0,כפרי,ערבי,מרכז,מטה יהודה ,ירושלים ,521,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
מוצא עילית,108,0,302,0,461,0,203,0,175,0,411,0,"1,660",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,208,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
בית זית,108,0,293,0,485,0,188,0,167,0,278,0,"1,519",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,710,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
עין ראפה,129,0,353,0,552,0,136,0,82,0,84,0,"1,336",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,514,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
אורה,118,0,238,0,443,0,140,0,125,0,137,0,"1,201",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,780,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
מבוא ביתר,97,0,332,0,335,0,151,0,81,0,126,0,"1,122",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,771,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
עמינדב,79,0,189,0,296,0,139,0,67,0,146,0,916,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,779,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
בית נקופה,69,0,160,0,231,0,75,0,62,0,118,0,715,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,672,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
אבן ספיר,49,0,142,0,236,0,97,0,74,0,106,0,704,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,783,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
רמת רחל,56,0,127,0,168,0,81,0,44,0,91,0,567,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,127,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
יד השמונה,23,0,80,0,103,0,42,0,12,0,40,0,300,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,1134,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
"עין כרם-בי""ס חקלאי",0,0,3,0,12,0,4,0,2,0,2,0,23,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,1056,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
ידידה,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1144,11,ירושלים ,11,ירושלים ,26,מטה יהודה ,
צור הדסה,"1,301",0,"3,028",1,"3,766",1,"1,303",0,768,0,824,0,"10,990",1,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,1113,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נחושה,115,0,590,0,531,0,223,0,52,0,52,0,"1,563",0,0,כפרי,יהודי דתי,מרכז,מטה יהודה ,ירושלים ,59,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נס הרים,119,0,484,0,473,0,224,0,84,0,102,0,"1,486",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,825,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
שורש,77,0,171,0,281,0,107,0,118,0,548,0,"1,302",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,456,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גבעת יערים,117,0,233,0,448,0,139,0,146,0,175,0,"1,258",0,0,כפרי,יהודי חרדי,מרכז,מטה יהודה ,ירושלים ,787,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
צרעה,74,0,213,0,319,0,216,0,87,0,332,0,"1,241",0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,567,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
טל שחר,114,0,307,0,398,0,172,0,100,0,144,0,"1,235",0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,462,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
זכריה,106,0,258,0,387,0,142,0,114,0,129,0,"1,136",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,799,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
אשתאול,85,0,261,0,391,0,119,0,87,0,137,0,"1,080",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,740,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נווה אילן,69,0,256,0,316,0,165,0,80,0,193,0,"1,079",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,405,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
שריגים (לי-און),64,0,224,0,376,0,135,0,175,0,98,0,"1,072",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1114,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
צלפון,113,0,252,0,352,0,126,0,76,0,135,0,"1,054",0,0,כפרי,יהודי דתי,מרכז,מטה יהודה ,ירושלים ,796,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
מסילת ציון,74,0,227,0,355,0,139,0,104,0,110,0,"1,009",0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,742,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
מעלה החמישה,99,0,275,0,276,0,143,0,58,0,138,0,989,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,286,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
תרום,69,0,277,0,325,0,120,0,59,0,92,0,942,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,778,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
אביעזר,63,0,246,0,290,0,151,0,97,0,88,0,935,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1070,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
אדרת,71,0,265,0,315,0,144,0,70,0,66,0,931,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1123,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
מטע,90,0,219,0,310,0,108,0,76,0,98,0,901,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,822,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
בקוע,108,0,206,0,301,0,106,0,77,0,102,0,900,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,864,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
ישעי,104,0,224,0,315,0,79,0,72,0,105,0,899,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,805,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
לוזית,84,0,276,0,281,0,137,0,58,0,57,0,893,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,52,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
כפר אוריה,41,0,279,0,241,0,159,0,71,0,75,0,866,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,364,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
צובה,59,0,138,0,305,0,97,0,95,0,130,0,824,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,465,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נווה מיכאל,92,0,227,0,294,0,72,0,54,0,80,0,819,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1071,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גבעת ישעיהו,72,0,168,0,250,0,114,0,59,0,95,0,758,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,919,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נחשון,69,0,136,0,213,0,89,0,61,0,148,0,716,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,777,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
"נתיב הל""ה",61,0,133,0,221,0,110,0,91,0,99,0,715,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,693,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
רמת רזיאל,47,0,161,0,204,0,106,0,59,0,119,0,696,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,460,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
בר גיורא,105,0,142,0,231,0,61,0,59,0,91,0,689,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,823,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
תעוז,72,0,160,0,206,0,76,0,48,0,99,0,661,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,752,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
שואבה,37,0,115,0,188,0,89,0,82,0,105,0,616,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,741,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נחם,55,0,140,0,207,0,65,0,48,0,94,0,609,0,0,כפרי,יהודי דתי,מרכז,מטה יהודה ,ירושלים ,809,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
זנוח,54,0,113,0,199,0,71,0,57,0,75,0,569,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,816,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נטף,93,0,91,0,222,0,35,0,34,0,89,0,564,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1254,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
מחסיה,61,0,143,0,178,0,45,0,32,0,70,0,529,0,0,כפרי,יהודי חרדי,מרכז,מטה יהודה ,ירושלים ,776,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
עגור,51,0,128,0,172,0,52,0,45,0,51,0,499,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,794,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
בית מאיר,64,0,91,0,181,0,41,0,33,0,66,0,476,0,0,כפרי,יהודי חרדי,מרכז,מטה יהודה ,ירושלים ,751,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
קרית ענבים,33,0,90,0,137,0,67,0,42,0,84,0,453,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,78,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
כסלון,56,0,97,0,159,0,53,0,35,0,52,0,452,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,859,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
צפרירים,39,0,86,0,156,0,61,0,48,0,57,0,447,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1079,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
תירוש,40,0,72,0,159,0,50,0,57,0,66,0,444,0,0,כפרי,יהודי חרדי,מרכז,מטה יהודה ,ירושלים ,10,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גפן,42,0,104,0,128,0,42,0,44,0,50,0,410,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,39,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
שדות מיכה,27,0,85,0,122,0,45,0,42,0,55,0,376,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,27,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
נווה שלום,38,0,69,0,149,0,33,0,42,0,44,0,375,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,1259,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
הראל,31,0,61,0,90,0,47,0,44,0,75,0,348,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,464,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גיזו,14,0,49,0,72,0,32,0,29,0,18,0,214,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,1043,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גבעות עדן,39,0,17,0,43,0,1,0,0,0,0,0,100,0,0,כפרי,#N/A,#N/A,מטה יהודה ,ירושלים ,1362,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
דייר ראפאת,6,0,31,0,35,0,11,0,2,0,7,0,92,0,0,כפרי,#N/A,מרכז,מטה יהודה ,ירושלים ,493,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
כפר זוהרים,18,0,14,0,17,0,0,0,0,0,0,0,49,0,0,כפרי,יהודי דתי,מרכז,מטה יהודה ,ירושלים ,1325,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
קרית יערים(מוסד),6,0,13,0,13,0,2,0,3,0,7,0,44,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,2039,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גבעת שמש,0,0,0,0,4,0,0,0,0,0,6,0,10,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,566,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
איתנים,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,כפרי,יהודי,מרכז,מטה יהודה ,ירושלים ,886,11,ירושלים ,13,בית שמש ,26,מטה יהודה ,
גאליה,75,0,214,0,372,0,158,0,110,0,175,0,"1,104",0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,853,44,רחובות ,44,רחובות ,27,גן רווה ,
כפר הנגיד,93,0,184,0,357,0,133,0,111,0,164,0,"1,042",0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,582,44,רחובות ,44,רחובות ,27,גן רווה ,
אירוס,75,0,305,0,303,0,168,0,75,0,43,0,969,0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,1336,44,רחובות ,44,רחובות ,27,גן רווה ,
פלמחים,71,0,160,0,310,0,130,0,78,0,129,0,878,0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,597,44,רחובות ,44,רחובות ,27,גן רווה ,
נטעים,56,0,150,0,267,0,138,0,97,0,102,0,810,0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,174,44,רחובות ,44,רחובות ,27,גן רווה ,
בית חנן,53,0,101,0,193,0,100,0,67,0,137,0,651,0,0,כפרי,יהודי,מרכז,גן רווה ,רחובות ,159,44,רחובות ,44,רחובות ,27,גן רווה ,
גן שורק,22,0,90,0,115,0,56,0,38,0,63,0,384,0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,311,44,רחובות ,44,רחובות ,27,גן רווה ,
בית עובד,22,0,64,0,97,0,51,0,28,0,77,0,339,0,0,כפרי,יהודי,מרכז,גן רווה ,רחובות ,202,44,רחובות ,44,רחובות ,27,גן רווה ,
עיינות,18,0,20,0,130,0,10,0,6,0,7,0,191,0,0,כפרי,יהודי,מרכז,גן רווה ,רחובות ,156,44,רחובות ,44,רחובות ,27,גן רווה ,
מחנה הילה,87,0,60,0,131,0,1,0,0,0,0,0,279,0,0,כפרי,#N/A,מרכז,גן רווה ,רחובות ,1411,44,רחובות ,46,ראשון לציון ,27,גן רווה ,
גבעת ברנר,162,0,608,0,754,0,538,0,210,0,501,0,"2,773",0,0,כפרי,יהודי,מרכז,ברנר ,רחובות ,147,44,רחובות ,44,רחובות ,28,ברנר ,
קדרון,99,0,397,0,539,0,272,0,167,0,231,0,"1,705",0,0,כפרי,יהודי,מרכז,ברנר ,רחובות ,615,44,רחובות ,44,רחובות ,28,ברנר ,
בית אלעזרי,125,0,421,0,494,0,250,0,108,0,224,0,"1,622",0,0,כפרי,יהודי,מרכז,ברנר ,רחובות ,562,44,רחובות ,44,רחובות ,28,ברנר ,
בניה,69,0,219,0,273,0,112,0,80,0,136,0,889,0,0,כפרי,#N/A,מרכז,ברנר ,רחובות ,685,44,רחובות ,44,רחובות ,28,ברנר ,
גן שלמה,59,0,162,0,189,0,88,0,39,0,107,0,644,0,0,כפרי,#N/A,מרכז,ברנר ,רחובות ,144,44,רחובות ,44,רחובות ,28,ברנר ,
גיבתון,25,0,100,0,98,0,67,0,27,0,92,0,409,0,0,כפרי,#N/A,מרכז,ברנר ,רחובות ,196,44,רחובות ,44,רחובות ,28,ברנר ,
מחנה תל נוף,110,0,63,0,163,0,3,0,0,0,0,0,339,0,0,כפרי,יהודי,מרכז,ברנר ,רחובות ,1412,44,רחובות ,44,רחובות ,28,ברנר ,
ניר גלים,116,0,430,0,387,0,130,0,54,0,97,0,"1,214",0,0,כפרי,יהודי חרדי,מרכז,חבל יבנה ,רחובות ,720,44,רחובות ,44,רחובות ,29,חבל יבנה ,
בית גמליאל,90,0,264,0,352,0,140,0,77,0,164,0,"1,087",0,0,כפרי,#N/A,מרכז,חבל יבנה ,רחובות ,571,44,רחובות ,44,רחובות ,29,חבל יבנה ,
בני דרום,132,0,340,0,330,0,111,0,38,0,80,0,"1,031",0,0,כפרי,#N/A,מרכז,חבל יבנה ,רחובות ,592,44,רחובות ,44,רחובות ,29,חבל יבנה ,
בן זכאי,90,0,193,0,302,0,106,0,91,0,92,0,874,0,0,כפרי,#N/A,מרכז,חבל יבנה ,רחובות ,760,44,רחובות ,44,רחובות ,29,חבל יבנה ,
קבוצת יבנה,84,0,184,0,290,0,79,0,59,0,153,0,849,0,0,כפרי,יהודי דתי,מרכז,חבל יבנה ,רחובות ,334,44,רחובות ,44,רחובות ,29,חבל יבנה ,
בית רבן,162,0,67,0,272,0,15,0,7,0,5,0,528,0,0,כפרי,יהודי דתי,מרכז,חבל יבנה ,רחובות ,848,44,רחובות ,44,רחובות ,29,חבל יבנה ,
כרם ביבנה (ישיבה),85,0,65,0,128,0,11,0,3,0,5,0,297,0,0,כפרי,#N/A,מרכז,חבל יבנה ,רחובות ,1094,44,רחובות ,44,רחובות ,29,חבל יבנה ,
בית חשמונאי,121,0,681,0,718,0,446,0,201,0,166,0,"2,333",0,0,כפרי,יהודי,מרכז,גזר ,רמלה ,1050,43,רמלה ,43,רמלה ,30,גזר ,
נוף איילון,199,0,486,0,879,0,198,0,331,0,199,0,"2,292",0,0,כפרי,יהודי חרדי,מרכז,גזר ,רמלה ,1333,43,רמלה ,43,רמלה ,30,גזר ,
נען,159,0,467,0,634,0,281,0,118,0,341,0,"2,000",0,0,כפרי,יהודי,מרכז,גזר ,רמלה ,158,43,רמלה ,43,רמלה ,30,גזר ,
כרמי יוסף,186,0,372,0,602,0,202,0,172,0,449,0,"1,983",0,0,כפרי,יהודי,מרכז,גזר ,רמלה ,1264,43,רמלה ,43,רמלה ,30,גזר ,
שעלבים,188,0,548,0,498,0,183,0,50,0,61,0,"1,528",0,0,כפרי,יהודי דתי,מרכז,גזר ,רמלה ,856,43,רמלה ,43,רמלה ,30,גזר ,
משמר דוד,157,0,545,0,425,0,216,0,44,0,76,0,"1,463",0,0,כפרי,#N/A,מרכז,גזר ,רמלה ,563,43,רמלה ,43,רמלה ,30,גזר ,
מצליח,153,0,276,0,482,0,137,0,139,0,191,0,"1,378",0,0,כפרי,#N/A,מרכז,גזר ,רמלה ,757,43,רמלה ,43,רמלה ,30,גזר ,
חולדה,89,0,415,0,324,0,230,0,54,0,118,0,"1,230",0,0,כפרי,#N/A,מרכז,גזר ,רמלה ,160,43,רמלה ,43,רמלה ,30,גזר ,
עזריה,122,0,295,0,420,0,148,0,93,0,136,0,"1,214",0,0,כפרי,#N/A,מרכז,גזר ,רמלה ,711,43,רמלה ,43,רמלה ,30,גזר ,
